Item_Name, Price
★ Kukri Knife | Crimson Web (Battle-Scarred), 177.95
★ StatTrak™ Kukri Knife | Crimson Web (Factory New), 1,764.21
★ StatTrak™ Kukri Knife | Crimson Web (Minimal Wear), 357.19
★ StatTrak™ Kukri Knife | Crimson Web (Field-Tested), 258.78
★ StatTrak™ Kukri Knife | Crimson Web (Well-Worn), 239.00
★ StatTrak™ Kukri Knife | Crimson Web (Battle-Scarred), 190.00
★ Karambit | Marble Fade (Factory New), 1,535.00
★ Karambit | Marble Fade (Minimal Wear), 1,491.80
★ StatTrak™ Karambit | Marble Fade (Factory New), 1,478.38
★ StatTrak™ Karambit | Marble Fade (Minimal Wear), 1,797.34
MP9 | Airlock (Factory New), 10.07
MP9 | Airlock (Minimal Wear), 4.77
MP9 | Airlock (Field-Tested), 2.06
MP9 | Airlock (Well-Worn), 1.47
MP9 | Airlock (Battle-Scarred), 1.84
StatTrak™ MP9 | Airlock (Factory New), 29.10
StatTrak™ MP9 | Airlock (Minimal Wear), 11.19
StatTrak™ MP9 | Airlock (Field-Tested), 4.97
StatTrak™ MP9 | Airlock (Well-Worn), 3.72
StatTrak™ MP9 | Airlock (Battle-Scarred), 3.21
AK-47 | Jaguar (Factory New), 183.98
AK-47 | Jaguar (Minimal Wear), 120.00
AK-47 | Jaguar (Field-Tested), 78.10
AK-47 | Jaguar (Well-Worn), 48.90
AK-47 | Jaguar (Battle-Scarred), 46.41
StatTrak™ AK-47 | Jaguar (Factory New), 342.20
StatTrak™ AK-47 | Jaguar (Minimal Wear), 199.00
StatTrak™ AK-47 | Jaguar (Field-Tested), 134.69
StatTrak™ AK-47 | Jaguar (Well-Worn), 91.48
StatTrak™ AK-47 | Jaguar (Battle-Scarred), 94.48
★ Bayonet | Boreal Forest (Factory New), 999.99
★ Bayonet | Boreal Forest (Minimal Wear), 217.57
★ Bayonet | Boreal Forest (Field-Tested), 184.38
★ Bayonet | Boreal Forest (Well-Worn), 181.31
★ Bayonet | Boreal Forest (Battle-Scarred), 179.86
★ StatTrak™ Bayonet | Boreal Forest (Factory New), 0
★ StatTrak™ Bayonet | Boreal Forest (Minimal Wear), 227.02
★ StatTrak™ Bayonet | Boreal Forest (Field-Tested), 184.79
★ StatTrak™ Bayonet | Boreal Forest (Well-Worn), 184.79
★ StatTrak™ Bayonet | Boreal Forest (Battle-Scarred), 184.79
★ Butterfly Knife | Scorched (Factory New), 1,136.16
★ Butterfly Knife | Scorched (Minimal Wear), 801.85
★ Butterfly Knife | Scorched (Field-Tested), 750.00
★ Butterfly Knife | Scorched (Well-Worn), 703.60
★ Butterfly Knife | Scorched (Battle-Scarred), 704.83
★ StatTrak™ Butterfly Knife | Scorched (Factory New), 0
★ StatTrak™ Butterfly Knife | Scorched (Minimal Wear), 809.38
★ StatTrak™ Butterfly Knife | Scorched (Field-Tested), 707.64
★ StatTrak™ Butterfly Knife | Scorched (Well-Worn), 711.81
★ StatTrak™ Butterfly Knife | Scorched (Battle-Scarred), 698.12
MP9 | Slide (Factory New), 0.07
MP9 | Slide (Minimal Wear), 0.01
MP9 | Slide (Field-Tested), 0.01
MP9 | Slide (Well-Worn), 0.01
MP9 | Slide (Battle-Scarred), 0.01
MP9 | Slide (Souvenir Factory New), 1.98
MP9 | Slide (Souvenir Minimal Wear), 0.09
MP9 | Slide (Souvenir Field-Tested), 0.03
MP9 | Slide (Souvenir Well-Worn), 0.05
MP9 | Slide (Souvenir Battle-Scarred), 0.03
★ Specialist Gloves | Emerald Web (Factory New), 8,350.02
★ Specialist Gloves | Emerald Web (Minimal Wear), 2,306.56
★ Specialist Gloves | Emerald Web (Field-Tested), 960.23
★ Specialist Gloves | Emerald Web (Well-Worn), 632.48
★ Specialist Gloves | Emerald Web (Battle-Scarred), 460.00
★ Gut Knife | Doppler (Factory New), 190.00
★ Gut Knife | Doppler (Minimal Wear), 190.00
★ StatTrak™ Gut Knife | Doppler (Factory New), 192.92
★ StatTrak™ Gut Knife | Doppler (Minimal Wear), 182.00
★ Bowie Knife | Black Laminate (Factory New), 175.21
★ Bowie Knife | Black Laminate (Minimal Wear), 131.41
★ Bowie Knife | Black Laminate (Field-Tested), 126.77
★ Bowie Knife | Black Laminate (Well-Worn), 119.09
★ Bowie Knife | Black Laminate (Battle-Scarred), 116.90
★ StatTrak™ Bowie Knife | Black Laminate (Factory New), 185.32
★ StatTrak™ Bowie Knife | Black Laminate (Minimal Wear), 147.56
★ StatTrak™ Bowie Knife | Black Laminate (Field-Tested), 127.16
★ StatTrak™ Bowie Knife | Black Laminate (Well-Worn), 136.75
★ StatTrak™ Bowie Knife | Black Laminate (Battle-Scarred), 119.00
AWP | Oni Taiji (Factory New), 382.11
AWP | Oni Taiji (Minimal Wear), 287.45
AWP | Oni Taiji (Field-Tested), 219.62
AWP | Oni Taiji (Well-Worn), 146.25
AWP | Oni Taiji (Battle-Scarred), 149.73
StatTrak™ AWP | Oni Taiji (Factory New), 725.34
StatTrak™ AWP | Oni Taiji (Minimal Wear), 525.00
StatTrak™ AWP | Oni Taiji (Field-Tested), 341.86
StatTrak™ AWP | Oni Taiji (Well-Worn), 314.84
StatTrak™ AWP | Oni Taiji (Battle-Scarred), 266.72
★ Butterfly Knife | Blue Steel (Factory New), 1,490.98
★ Butterfly Knife | Blue Steel (Minimal Wear), 1,235.82
★ Butterfly Knife | Blue Steel (Field-Tested), 1,163.27
★ Butterfly Knife | Blue Steel (Well-Worn), 1,064.98
★ Butterfly Knife | Blue Steel (Battle-Scarred), 1,025.41
★ StatTrak™ Butterfly Knife | Blue Steel (Factory New), 1,546.39
★ StatTrak™ Butterfly Knife | Blue Steel (Minimal Wear), 1,152.59
★ StatTrak™ Butterfly Knife | Blue Steel (Field-Tested), 1,067.72
★ StatTrak™ Butterfly Knife | Blue Steel (Well-Worn), 1,026.65
★ StatTrak™ Butterfly Knife | Blue Steel (Battle-Scarred), 1,026.65
★ Flip Knife | Black Laminate (Factory New), 268.02
★ Flip Knife | Black Laminate (Minimal Wear), 221.67
★ Flip Knife | Black Laminate (Field-Tested), 208.00
★ Flip Knife | Black Laminate (Well-Worn), 190.00
★ Flip Knife | Black Laminate (Battle-Scarred), 185.57
★ StatTrak™ Flip Knife | Black Laminate (Factory New), 321.68
★ StatTrak™ Flip Knife | Black Laminate (Minimal Wear), 222.68
★ StatTrak™ Flip Knife | Black Laminate (Field-Tested), 199.71
★ StatTrak™ Flip Knife | Black Laminate (Well-Worn), 191.50
★ StatTrak™ Flip Knife | Black Laminate (Battle-Scarred), 192.77
★ Skeleton Knife | Case Hardened (Factory New), 778.59
★ Skeleton Knife | Case Hardened (Minimal Wear), 541.03
★ Skeleton Knife | Case Hardened (Field-Tested), 459.01
★ Skeleton Knife | Case Hardened (Well-Worn), 385.00
★ Skeleton Knife | Case Hardened (Battle-Scarred), 355.49
★ StatTrak™ Skeleton Knife | Case Hardened (Factory New), 1,038.96
★ StatTrak™ Skeleton Knife | Case Hardened (Minimal Wear), 541.73
★ StatTrak™ Skeleton Knife | Case Hardened (Field-Tested), 473.63
★ StatTrak™ Skeleton Knife | Case Hardened (Well-Worn), 378.14
★ StatTrak™ Skeleton Knife | Case Hardened (Battle-Scarred), 402.15
★ Butterfly Knife | Stained (Factory New), 1,094.96
★ Butterfly Knife | Stained (Minimal Wear), 973.95
★ Butterfly Knife | Stained (Field-Tested), 915.66
★ Butterfly Knife | Stained (Well-Worn), 866.27
★ Butterfly Knife | Stained (Battle-Scarred), 831.75
★ StatTrak™ Butterfly Knife | Stained (Factory New), 1,096.47
★ StatTrak™ Butterfly Knife | Stained (Minimal Wear), 930.83
★ StatTrak™ Butterfly Knife | Stained (Field-Tested), 890.61
★ StatTrak™ Butterfly Knife | Stained (Well-Worn), 847.08
★ StatTrak™ Butterfly Knife | Stained (Battle-Scarred), 868.60
★ Survival Knife | Crimson Web (Factory New), 834.99
★ Survival Knife | Crimson Web (Minimal Wear), 194.38
★ Survival Knife | Crimson Web (Field-Tested), 165.76
★ Survival Knife | Crimson Web (Well-Worn), 160.15
★ Survival Knife | Crimson Web (Battle-Scarred), 140.99
★ StatTrak™ Survival Knife | Crimson Web (Factory New), 3,500.00
★ StatTrak™ Survival Knife | Crimson Web (Minimal Wear), 228.79
★ StatTrak™ Survival Knife | Crimson Web (Field-Tested), 175.46
★ StatTrak™ Survival Knife | Crimson Web (Well-Worn), 177.95
★ StatTrak™ Survival Knife | Crimson Web (Battle-Scarred), 164.26
★ M9 Bayonet | Fade (Factory New), 1,810.95
★ M9 Bayonet | Fade (Minimal Wear), 1,697.27
★ StatTrak™ M9 Bayonet | Fade (Factory New), 1,650.00
★ StatTrak™ M9 Bayonet | Fade (Minimal Wear), 1,615.27
M4A1-S | Cyrex (Factory New), 38.34
M4A1-S | Cyrex (Minimal Wear), 27.51
M4A1-S | Cyrex (Field-Tested), 19.18
M4A1-S | Cyrex (Well-Worn), 20.20
M4A1-S | Cyrex (Battle-Scarred), 19.29
StatTrak™ M4A1-S | Cyrex (Factory New), 119.11
StatTrak™ M4A1-S | Cyrex (Minimal Wear), 86.00
StatTrak™ M4A1-S | Cyrex (Field-Tested), 50.04
StatTrak™ M4A1-S | Cyrex (Well-Worn), 52.22
StatTrak™ M4A1-S | Cyrex (Battle-Scarred), 51.66
AWP | Pit Viper (Minimal Wear), 0.48
AWP | Pit Viper (Field-Tested), 0.22
AWP | Pit Viper (Well-Worn), 0.43
AWP | Pit Viper (Battle-Scarred), 0.31
AWP | Pit Viper (Souvenir Minimal Wear), 515.36
AWP | Pit Viper (Souvenir Field-Tested), 407.92
AWP | Pit Viper (Souvenir Well-Worn), 0
AWP | Pit Viper (Souvenir Battle-Scarred), 0
FAMAS | Sundown (Factory New), 128.52
FAMAS | Sundown (Minimal Wear), 126.35
FAMAS | Sundown (Field-Tested), 121.55
FAMAS | Sundown (Well-Worn), 621.60
FAMAS | Sundown (Battle-Scarred), 132.71
MP9 | Starlight Protector (Factory New), 14.23
MP9 | Starlight Protector (Minimal Wear), 5.96
MP9 | Starlight Protector (Field-Tested), 2.80
MP9 | Starlight Protector (Well-Worn), 3.05
MP9 | Starlight Protector (Battle-Scarred), 2.19
StatTrak™ MP9 | Starlight Protector (Factory New), 49.89
StatTrak™ MP9 | Starlight Protector (Minimal Wear), 16.94
StatTrak™ MP9 | Starlight Protector (Field-Tested), 7.21
StatTrak™ MP9 | Starlight Protector (Well-Worn), 7.58
StatTrak™ MP9 | Starlight Protector (Battle-Scarred), 6.15
★ Broken Fang Gloves | Yellow-banded (Factory New), 388.60
★ Broken Fang Gloves | Yellow-banded (Minimal Wear), 129.00
★ Broken Fang Gloves | Yellow-banded (Field-Tested), 89.17
★ Broken Fang Gloves | Yellow-banded (Well-Worn), 87.60
★ Broken Fang Gloves | Yellow-banded (Battle-Scarred), 79.39
★ Shadow Daggers | Marble Fade (Factory New), 156.63
★ Shadow Daggers | Marble Fade (Minimal Wear), 175.97
★ StatTrak™ Shadow Daggers | Marble Fade (Factory New), 205.66
★ StatTrak™ Shadow Daggers | Marble Fade (Minimal Wear), 223.44
Glock-18 | Night (Factory New), 38.05
Glock-18 | Night (Minimal Wear), 3.30
Glock-18 | Night (Field-Tested), 2.19
Glock-18 | Night (Well-Worn), 2.00
Glock-18 | Night (Battle-Scarred), 2.02
Glock-18 | Night (Souvenir Factory New), 23.24
Glock-18 | Night (Souvenir Minimal Wear), 1.57
Glock-18 | Night (Souvenir Field-Tested), 0.41
Glock-18 | Night (Souvenir Well-Worn), 0.42
Glock-18 | Night (Souvenir Battle-Scarred), 0.36
USP-S | Cyrex (Factory New), 2.93
USP-S | Cyrex (Minimal Wear), 1.63
USP-S | Cyrex (Field-Tested), 0.96
USP-S | Cyrex (Well-Worn), 1.05
USP-S | Cyrex (Battle-Scarred), 0.94
StatTrak™ USP-S | Cyrex (Factory New), 10.05
StatTrak™ USP-S | Cyrex (Minimal Wear), 5.74
StatTrak™ USP-S | Cyrex (Field-Tested), 3.47
StatTrak™ USP-S | Cyrex (Well-Worn), 3.92
StatTrak™ USP-S | Cyrex (Battle-Scarred), 3.24
★ Stiletto Knife | Forest DDPAT (Factory New), 362.58
★ Stiletto Knife | Forest DDPAT (Minimal Wear), 205.33
★ Stiletto Knife | Forest DDPAT (Field-Tested), 194.38
★ Stiletto Knife | Forest DDPAT (Well-Worn), 186.09
★ Stiletto Knife | Forest DDPAT (Battle-Scarred), 184.79
★ StatTrak™ Stiletto Knife | Forest DDPAT (Factory New), 0
★ StatTrak™ Stiletto Knife | Forest DDPAT (Minimal Wear), 207.73
★ StatTrak™ Stiletto Knife | Forest DDPAT (Field-Tested), 191.46
★ StatTrak™ Stiletto Knife | Forest DDPAT (Well-Worn), 201.59
★ StatTrak™ Stiletto Knife | Forest DDPAT (Battle-Scarred), 185.65
Glock-18 | Bullet Queen (Factory New), 32.55
Glock-18 | Bullet Queen (Minimal Wear), 11.22
Glock-18 | Bullet Queen (Field-Tested), 5.33
Glock-18 | Bullet Queen (Well-Worn), 4.48
Glock-18 | Bullet Queen (Battle-Scarred), 3.98
StatTrak™ Glock-18 | Bullet Queen (Factory New), 128.12
StatTrak™ Glock-18 | Bullet Queen (Minimal Wear), 46.13
StatTrak™ Glock-18 | Bullet Queen (Field-Tested), 21.89
StatTrak™ Glock-18 | Bullet Queen (Well-Worn), 14.54
StatTrak™ Glock-18 | Bullet Queen (Battle-Scarred), 14.43
AWP | Gungnir (Factory New), 12,121.21
AWP | Gungnir (Minimal Wear), 10,494.73
AWP | Gungnir (Field-Tested), 8,144.82
AWP | Gungnir (Well-Worn), 6,686.38
AWP | Gungnir (Battle-Scarred), 6,060.60
AWP | Containment Breach (Factory New), 284.69
AWP | Containment Breach (Minimal Wear), 139.41
AWP | Containment Breach (Field-Tested), 75.37
AWP | Containment Breach (Well-Worn), 50.67
AWP | Containment Breach (Battle-Scarred), 49.02
StatTrak™ AWP | Containment Breach (Factory New), 569.77
StatTrak™ AWP | Containment Breach (Minimal Wear), 251.64
StatTrak™ AWP | Containment Breach (Field-Tested), 139.50
StatTrak™ AWP | Containment Breach (Well-Worn), 113.05
StatTrak™ AWP | Containment Breach (Battle-Scarred), 96.99
★ Flip Knife | Vanilla (Normal), 320.31
★ StatTrak™ Flip Knife | Vanilla (StatTrak), 303.89
★ Survival Knife | Fade (Factory New), 316.21
★ Survival Knife | Fade (Minimal Wear), 331.35
★ StatTrak™ Survival Knife | Fade (Factory New), 320.00
★ StatTrak™ Survival Knife | Fade (Minimal Wear), 364.70
★ Karambit | Black Laminate (Factory New), 1,191.40
★ Karambit | Black Laminate (Minimal Wear), 1,032.54
★ Karambit | Black Laminate (Field-Tested), 986.96
★ Karambit | Black Laminate (Well-Worn), 910.30
★ Karambit | Black Laminate (Battle-Scarred), 876.01
★ StatTrak™ Karambit | Black Laminate (Factory New), 1,179.00
★ StatTrak™ Karambit | Black Laminate (Minimal Wear), 939.87
★ StatTrak™ Karambit | Black Laminate (Field-Tested), 903.18
★ StatTrak™ Karambit | Black Laminate (Well-Worn), 879.91
★ StatTrak™ Karambit | Black Laminate (Battle-Scarred), 917.01
Glock-18 | Candy Apple (Factory New), 0.78
Glock-18 | Candy Apple (Minimal Wear), 0.51
Glock-18 | Candy Apple (Field-Tested), 0.39
Glock-18 | Candy Apple (Souvenir Factory New), 610.00
Glock-18 | Candy Apple (Souvenir Minimal Wear), 240.63
Glock-18 | Candy Apple (Souvenir Field-Tested), 368.00
★ Huntsman Knife | Damascus Steel (Factory New), 184.98
★ Huntsman Knife | Damascus Steel (Minimal Wear), 163.90
★ Huntsman Knife | Damascus Steel (Field-Tested), 148.38
★ Huntsman Knife | Damascus Steel (Well-Worn), 145.37
★ Huntsman Knife | Damascus Steel (Battle-Scarred), 148.73
★ StatTrak™ Huntsman Knife | Damascus Steel (Factory New), 243.00
★ StatTrak™ Huntsman Knife | Damascus Steel (Minimal Wear), 195.18
★ StatTrak™ Huntsman Knife | Damascus Steel (Field-Tested), 145.63
★ StatTrak™ Huntsman Knife | Damascus Steel (Well-Worn), 1,227.05
★ StatTrak™ Huntsman Knife | Damascus Steel (Battle-Scarred), 156.18
★ Talon Knife | Boreal Forest (Factory New), 456.24
★ Talon Knife | Boreal Forest (Minimal Wear), 306.61
★ Talon Knife | Boreal Forest (Field-Tested), 284.45
★ Talon Knife | Boreal Forest (Well-Worn), 272.13
★ Talon Knife | Boreal Forest (Battle-Scarred), 263.23
★ StatTrak™ Talon Knife | Boreal Forest (Factory New), 0
★ StatTrak™ Talon Knife | Boreal Forest (Minimal Wear), 328.53
★ StatTrak™ Talon Knife | Boreal Forest (Field-Tested), 284.72
★ StatTrak™ Talon Knife | Boreal Forest (Well-Worn), 287.46
★ StatTrak™ Talon Knife | Boreal Forest (Battle-Scarred), 266.39
★ Butterfly Knife | Autotronic (Factory New), 2,149.95
★ Butterfly Knife | Autotronic (Minimal Wear), 1,700.00
★ Butterfly Knife | Autotronic (Field-Tested), 1,347.08
★ Butterfly Knife | Autotronic (Well-Worn), 1,258.68
★ Butterfly Knife | Autotronic (Battle-Scarred), 1,050.00
★ StatTrak™ Butterfly Knife | Autotronic (Factory New), 1,998.56
★ StatTrak™ Butterfly Knife | Autotronic (Minimal Wear), 1,557.77
★ StatTrak™ Butterfly Knife | Autotronic (Field-Tested), 1,253.17
★ StatTrak™ Butterfly Knife | Autotronic (Well-Worn), 1,291.00
★ StatTrak™ Butterfly Knife | Autotronic (Battle-Scarred), 1,057.86
★ Falchion Knife | Forest DDPAT (Factory New), 177.95
★ Falchion Knife | Forest DDPAT (Minimal Wear), 130.00
★ Falchion Knife | Forest DDPAT (Field-Tested), 119.72
★ Falchion Knife | Forest DDPAT (Well-Worn), 118.99
★ Falchion Knife | Forest DDPAT (Battle-Scarred), 113.64
★ StatTrak™ Falchion Knife | Forest DDPAT (Factory New), 0
★ StatTrak™ Falchion Knife | Forest DDPAT (Minimal Wear), 177.91
★ StatTrak™ Falchion Knife | Forest DDPAT (Field-Tested), 134.68
★ StatTrak™ Falchion Knife | Forest DDPAT (Well-Worn), 129.14
★ StatTrak™ Falchion Knife | Forest DDPAT (Battle-Scarred), 0
★ Huntsman Knife | Forest DDPAT (Factory New), 307.56
★ Huntsman Knife | Forest DDPAT (Minimal Wear), 131.03
★ Huntsman Knife | Forest DDPAT (Field-Tested), 113.00
★ Huntsman Knife | Forest DDPAT (Well-Worn), 125.96
★ Huntsman Knife | Forest DDPAT (Battle-Scarred), 116.87
★ StatTrak™ Huntsman Knife | Forest DDPAT (Factory New), 650.00
★ StatTrak™ Huntsman Knife | Forest DDPAT (Minimal Wear), 139.84
★ StatTrak™ Huntsman Knife | Forest DDPAT (Field-Tested), 132.43
★ StatTrak™ Huntsman Knife | Forest DDPAT (Well-Worn), 145.00
★ StatTrak™ Huntsman Knife | Forest DDPAT (Battle-Scarred), 138.64
★ Falchion Knife | Rust Coat (Well-Worn), 132.32
★ Falchion Knife | Rust Coat (Battle-Scarred), 126.23
★ StatTrak™ Falchion Knife | Rust Coat (Well-Worn), 168.21
★ StatTrak™ Falchion Knife | Rust Coat (Battle-Scarred), 123.19
M4A1-S | Hot Rod (Factory New), 897.30
M4A1-S | Hot Rod (Minimal Wear), 876.26
★ Nomad Knife | Night Stripe (Factory New), 339.34
★ Nomad Knife | Night Stripe (Minimal Wear), 200.00
★ Nomad Knife | Night Stripe (Field-Tested), 172.49
★ Nomad Knife | Night Stripe (Well-Worn), 161.38
★ Nomad Knife | Night Stripe (Battle-Scarred), 150.57
★ StatTrak™ Nomad Knife | Night Stripe (Factory New), 1,642.65
★ StatTrak™ Nomad Knife | Night Stripe (Minimal Wear), 200.00
★ StatTrak™ Nomad Knife | Night Stripe (Field-Tested), 173.84
★ StatTrak™ Nomad Knife | Night Stripe (Well-Worn), 312.49
★ StatTrak™ Nomad Knife | Night Stripe (Battle-Scarred), 149.63
★ Falchion Knife | Marble Fade (Factory New), 287.32
★ Falchion Knife | Marble Fade (Minimal Wear), 292.94
★ StatTrak™ Falchion Knife | Marble Fade (Factory New), 334.00
★ StatTrak™ Falchion Knife | Marble Fade (Minimal Wear), 700.00
Glock-18 | Neo-Noir (Factory New), 50.68
Glock-18 | Neo-Noir (Minimal Wear), 21.68
Glock-18 | Neo-Noir (Field-Tested), 10.55
Glock-18 | Neo-Noir (Well-Worn), 9.38
Glock-18 | Neo-Noir (Battle-Scarred), 9.31
StatTrak™ Glock-18 | Neo-Noir (Factory New), 185.65
StatTrak™ Glock-18 | Neo-Noir (Minimal Wear), 71.27
StatTrak™ Glock-18 | Neo-Noir (Field-Tested), 35.01
StatTrak™ Glock-18 | Neo-Noir (Well-Worn), 32.45
StatTrak™ Glock-18 | Neo-Noir (Battle-Scarred), 31.27
★ Moto Gloves | Spearmint (Factory New), 17,655.66
★ Moto Gloves | Spearmint (Minimal Wear), 5,229.11
★ Moto Gloves | Spearmint (Field-Tested), 2,099.00
★ Moto Gloves | Spearmint (Well-Worn), 1,424.39
★ Moto Gloves | Spearmint (Battle-Scarred), 536.06
MAC-10 | Stalker (Factory New), 51.70
MAC-10 | Stalker (Minimal Wear), 20.18
MAC-10 | Stalker (Field-Tested), 11.32
MAC-10 | Stalker (Well-Worn), 10.22
MAC-10 | Stalker (Battle-Scarred), 10.23
StatTrak™ MAC-10 | Stalker (Factory New), 253.58
StatTrak™ MAC-10 | Stalker (Minimal Wear), 73.43
StatTrak™ MAC-10 | Stalker (Field-Tested), 38.39
StatTrak™ MAC-10 | Stalker (Well-Worn), 33.61
StatTrak™ MAC-10 | Stalker (Battle-Scarred), 32.40
USP-S | Torque (Factory New), 1.68
USP-S | Torque (Minimal Wear), 1.16
USP-S | Torque (Field-Tested), 0.58
USP-S | Torque (Well-Worn), 0.78
USP-S | Torque (Battle-Scarred), 1.24
StatTrak™ USP-S | Torque (Factory New), 4.28
StatTrak™ USP-S | Torque (Minimal Wear), 3.11
StatTrak™ USP-S | Torque (Field-Tested), 1.98
StatTrak™ USP-S | Torque (Well-Worn), 2.08
StatTrak™ USP-S | Torque (Battle-Scarred), 2.63
MAC-10 | Hot Snakes (Factory New), 206.78
MAC-10 | Hot Snakes (Minimal Wear), 172.00
MAC-10 | Hot Snakes (Field-Tested), 133.59
MAC-10 | Hot Snakes (Well-Worn), 102.66
MAC-10 | Hot Snakes (Battle-Scarred), 94.94
M4A4 | Desert-Strike (Factory New), 12.13
M4A4 | Desert-Strike (Minimal Wear), 6.70
M4A4 | Desert-Strike (Field-Tested), 5.18
M4A4 | Desert-Strike (Well-Worn), 15.92
M4A4 | Desert-Strike (Battle-Scarred), 4.48
StatTrak™ M4A4 | Desert-Strike (Factory New), 28.73
StatTrak™ M4A4 | Desert-Strike (Minimal Wear), 15.60
StatTrak™ M4A4 | Desert-Strike (Field-Tested), 11.42
StatTrak™ M4A4 | Desert-Strike (Well-Worn), 16.28
StatTrak™ M4A4 | Desert-Strike (Battle-Scarred), 13.45
MAC-10 | Oceanic (Factory New), 0.23
MAC-10 | Oceanic (Minimal Wear), 0.11
MAC-10 | Oceanic (Field-Tested), 0.07
MAC-10 | Oceanic (Well-Worn), 0.07
MAC-10 | Oceanic (Battle-Scarred), 0.05
StatTrak™ MAC-10 | Oceanic (Factory New), 0.69
StatTrak™ MAC-10 | Oceanic (Minimal Wear), 0.32
StatTrak™ MAC-10 | Oceanic (Field-Tested), 0.12
StatTrak™ MAC-10 | Oceanic (Well-Worn), 0.22
StatTrak™ MAC-10 | Oceanic (Battle-Scarred), 0.10
M4A1-S | Night Terror (Factory New), 1.49
M4A1-S | Night Terror (Minimal Wear), 0.72
M4A1-S | Night Terror (Field-Tested), 0.41
M4A1-S | Night Terror (Well-Worn), 0.84
M4A1-S | Night Terror (Battle-Scarred), 1.17
StatTrak™ M4A1-S | Night Terror (Factory New), 5.90
StatTrak™ M4A1-S | Night Terror (Minimal Wear), 2.65
StatTrak™ M4A1-S | Night Terror (Field-Tested), 1.94
StatTrak™ M4A1-S | Night Terror (Well-Worn), 3.30
StatTrak™ M4A1-S | Night Terror (Battle-Scarred), 4.52
★ Kukri Knife | Fade (Factory New), 582.76
★ Kukri Knife | Fade (Minimal Wear), 586.91
★ StatTrak™ Kukri Knife | Fade (Factory New), 585.00
★ StatTrak™ Kukri Knife | Fade (Minimal Wear), 575.84
★ Bayonet | Night (Factory New), 828.76
★ Bayonet | Night (Minimal Wear), 273.22
★ Bayonet | Night (Field-Tested), 211.33
★ Bayonet | Night (Well-Worn), 201.62
★ Bayonet | Night (Battle-Scarred), 198.14
★ StatTrak™ Bayonet | Night (Factory New), 0
★ StatTrak™ Bayonet | Night (Minimal Wear), 306.10
★ StatTrak™ Bayonet | Night (Field-Tested), 221.07
★ StatTrak™ Bayonet | Night (Well-Worn), 215.00
★ StatTrak™ Bayonet | Night (Battle-Scarred), 216.28
AUG | Ricochet (Factory New), 0.47
AUG | Ricochet (Minimal Wear), 0.19
AUG | Ricochet (Field-Tested), 0.09
AUG | Ricochet (Well-Worn), 0.15
AUG | Ricochet (Battle-Scarred), 0.05
StatTrak™ AUG | Ricochet (Factory New), 2.09
StatTrak™ AUG | Ricochet (Minimal Wear), 0.77
StatTrak™ AUG | Ricochet (Field-Tested), 0.25
StatTrak™ AUG | Ricochet (Well-Worn), 1.12
StatTrak™ AUG | Ricochet (Battle-Scarred), 0.18
AK-47 | Safari Mesh (Factory New), 1.54
AK-47 | Safari Mesh (Minimal Wear), 0.12
AK-47 | Safari Mesh (Field-Tested), 0.03
AK-47 | Safari Mesh (Well-Worn), 0.06
AK-47 | Safari Mesh (Battle-Scarred), 0.05
AK-47 | Safari Mesh (Souvenir Factory New), 192.63
AK-47 | Safari Mesh (Souvenir Minimal Wear), 15.36
AK-47 | Safari Mesh (Souvenir Field-Tested), 8.74
AK-47 | Safari Mesh (Souvenir Well-Worn), 8.71
AK-47 | Safari Mesh (Souvenir Battle-Scarred), 9.37
★ Huntsman Knife | Case Hardened (Factory New), 490.00
★ Huntsman Knife | Case Hardened (Minimal Wear), 239.34
★ Huntsman Knife | Case Hardened (Field-Tested), 219.60
★ Huntsman Knife | Case Hardened (Well-Worn), 214.09
★ Huntsman Knife | Case Hardened (Battle-Scarred), 215.78
★ StatTrak™ Huntsman Knife | Case Hardened (Factory New), 0
★ StatTrak™ Huntsman Knife | Case Hardened (Minimal Wear), 403.45
★ StatTrak™ Huntsman Knife | Case Hardened (Field-Tested), 399.98
★ StatTrak™ Huntsman Knife | Case Hardened (Well-Worn), 327.12
★ StatTrak™ Huntsman Knife | Case Hardened (Battle-Scarred), 249.99
AUG | Fleet Flock (Factory New), 10.11
AUG | Fleet Flock (Minimal Wear), 5.33
AUG | Fleet Flock (Field-Tested), 1.87
AUG | Fleet Flock (Well-Worn), 1.49
AUG | Fleet Flock (Battle-Scarred), 1.32
StatTrak™ AUG | Fleet Flock (Factory New), 21.40
StatTrak™ AUG | Fleet Flock (Minimal Wear), 7.78
StatTrak™ AUG | Fleet Flock (Field-Tested), 3.76
StatTrak™ AUG | Fleet Flock (Well-Worn), 3.00
StatTrak™ AUG | Fleet Flock (Battle-Scarred), 2.70
AWP | Phobos (Factory New), 2.11
AWP | Phobos (Minimal Wear), 1.36
AWP | Phobos (Field-Tested), 1.24
AWP | Phobos (Well-Worn), 2.36
StatTrak™ AWP | Phobos (Factory New), 6.29
StatTrak™ AWP | Phobos (Minimal Wear), 4.23
StatTrak™ AWP | Phobos (Field-Tested), 4.04
StatTrak™ AWP | Phobos (Well-Worn), 8.64
AWP | PAW (Factory New), 3.90
AWP | PAW (Minimal Wear), 2.25
AWP | PAW (Field-Tested), 1.50
AWP | PAW (Well-Worn), 1.50
AWP | PAW (Battle-Scarred), 1.63
