Item_Name, Price
★ StatTrak™ Stiletto Knife | Boreal Forest (Battle-Scarred), 191.64
M4A1-S | Blood Tiger (Factory New), 4.92
M4A1-S | Blood Tiger (Minimal Wear), 4.19
M4A1-S | Blood Tiger (Field-Tested), 4.31
StatTrak™ M4A1-S | Blood Tiger (Factory New), 13.41
StatTrak™ M4A1-S | Blood Tiger (Minimal Wear), 12.38
StatTrak™ M4A1-S | Blood Tiger (Field-Tested), 13.18
★ Survival Knife | Night Stripe (Factory New), 193.95
★ Survival Knife | Night Stripe (Minimal Wear), 126.00
★ Survival Knife | Night Stripe (Field-Tested), 122.02
★ Survival Knife | Night Stripe (Well-Worn), 113.13
★ Survival Knife | Night Stripe (Battle-Scarred), 113.13
★ StatTrak™ Survival Knife | Night Stripe (Factory New), 779.99
★ StatTrak™ Survival Knife | Night Stripe (Minimal Wear), 130.04
★ StatTrak™ Survival Knife | Night Stripe (Field-Tested), 119.09
★ StatTrak™ Survival Knife | Night Stripe (Well-Worn), 145.07
★ StatTrak™ Survival Knife | Night Stripe (Battle-Scarred), 209.09
Desert Eagle | Night Heist (Factory New), 14.64
Desert Eagle | Night Heist (Minimal Wear), 13.16
Desert Eagle | Night Heist (Field-Tested), 12.31
Desert Eagle | Night Heist (Well-Worn), 13.11
Desert Eagle | Night Heist (Battle-Scarred), 11.82
★ Bayonet | Tiger Tooth (Factory New), 466.83
★ Bayonet | Tiger Tooth (Minimal Wear), 581.90
★ StatTrak™ Bayonet | Tiger Tooth (Factory New), 488.68
★ StatTrak™ Bayonet | Tiger Tooth (Minimal Wear), 500.00
Glock-18 | Red Tire (Factory New), 3.70
Glock-18 | Red Tire (Minimal Wear), 3.78
Glock-18 | Red Tire (Field-Tested), 3.41
Glock-18 | Red Tire (Well-Worn), 3.59
Glock-18 | Red Tire (Battle-Scarred), 3.69
Glock-18 | Red Tire (Souvenir Factory New), 1.28
Glock-18 | Red Tire (Souvenir Minimal Wear), 0.82
Glock-18 | Red Tire (Souvenir Field-Tested), 0.54
Glock-18 | Red Tire (Souvenir Well-Worn), 0.93
Glock-18 | Red Tire (Souvenir Battle-Scarred), 0.45
AUG | Daedalus (Factory New), 4.53
AUG | Daedalus (Minimal Wear), 4.21
AUG | Daedalus (Field-Tested), 3.94
AUG | Daedalus (Well-Worn), 4.10
AUG | Daedalus (Battle-Scarred), 3.90
★ Stiletto Knife | Vanilla (Normal), 380.16
★ StatTrak™ Stiletto Knife | Vanilla (StatTrak), 355.90
FAMAS | CaliCamo (Factory New), 3.29
FAMAS | CaliCamo (Minimal Wear), 2.97
FAMAS | CaliCamo (Field-Tested), 2.82
FAMAS | CaliCamo (Well-Worn), 3.25
FAMAS | CaliCamo (Battle-Scarred), 3.04
FAMAS | CaliCamo (Souvenir Factory New), 0.12
FAMAS | CaliCamo (Souvenir Minimal Wear), 0.05
FAMAS | CaliCamo (Souvenir Field-Tested), 0.01
FAMAS | CaliCamo (Souvenir Well-Worn), 0.04
FAMAS | CaliCamo (Souvenir Battle-Scarred), 0.02
★ Gut Knife | Stained (Factory New), 131.27
★ Gut Knife | Stained (Minimal Wear), 113.13
★ Gut Knife | Stained (Field-Tested), 108.06
★ Gut Knife | Stained (Well-Worn), 111.56
★ Gut Knife | Stained (Battle-Scarred), 120.25
★ StatTrak™ Gut Knife | Stained (Factory New), 0
★ StatTrak™ Gut Knife | Stained (Minimal Wear), 122.77
★ StatTrak™ Gut Knife | Stained (Field-Tested), 119.61
★ StatTrak™ Gut Knife | Stained (Well-Worn), 120.00
★ StatTrak™ Gut Knife | Stained (Battle-Scarred), 121.05
★ Gut Knife | Black Laminate (Factory New), 130.04
★ Gut Knife | Black Laminate (Minimal Wear), 114.42
★ Gut Knife | Black Laminate (Field-Tested), 111.37
★ Gut Knife | Black Laminate (Well-Worn), 107.32
★ Gut Knife | Black Laminate (Battle-Scarred), 102.87
★ StatTrak™ Gut Knife | Black Laminate (Factory New), 217.54
★ StatTrak™ Gut Knife | Black Laminate (Minimal Wear), 129.90
★ StatTrak™ Gut Knife | Black Laminate (Field-Tested), 117.72
★ StatTrak™ Gut Knife | Black Laminate (Well-Worn), 136.75
★ StatTrak™ Gut Knife | Black Laminate (Battle-Scarred), 121.55
★ Gut Knife | Freehand (Factory New), 123.19
★ Gut Knife | Freehand (Minimal Wear), 114.15
★ Gut Knife | Freehand (Field-Tested), 114.88
★ Gut Knife | Freehand (Well-Worn), 110.87
★ Gut Knife | Freehand (Battle-Scarred), 111.26
★ StatTrak™ Gut Knife | Freehand (Factory New), 144.75
★ StatTrak™ Gut Knife | Freehand (Minimal Wear), 124.36
★ StatTrak™ Gut Knife | Freehand (Field-Tested), 116.82
★ StatTrak™ Gut Knife | Freehand (Well-Worn), 154.36
★ StatTrak™ Gut Knife | Freehand (Battle-Scarred), 328.53
MP9 | Dark Age (Factory New), 111.97
MP9 | Dark Age (Minimal Wear), 109.51
MP9 | Dark Age (Field-Tested), 112.24
MP9 | Dark Age (Souvenir Factory New), 13.59
MP9 | Dark Age (Souvenir Minimal Wear), 10.55
MP9 | Dark Age (Souvenir Field-Tested), 10.43
MP9 | Old Roots (Factory New), 3.98
MP9 | Old Roots (Minimal Wear), 3.66
MP9 | Old Roots (Field-Tested), 3.93
MP9 | Old Roots (Well-Worn), 3.75
MP9 | Old Roots (Battle-Scarred), 3.92
MP9 | Old Roots (Souvenir Factory New), 0.20
MP9 | Old Roots (Souvenir Minimal Wear), 0.11
MP9 | Old Roots (Souvenir Field-Tested), 0.05
MP9 | Old Roots (Souvenir Well-Worn), 0.13
