Item, Buff_Price
StatTrak™ AK-47 | Ice Coaled (Well-Worn), 13.21
AK-47 | Red Laminate (Battle-Scarred), 51.68
AK-47 | Green Laminate (Well-Worn), 22.2
M4A1-S | Golden Coil (Factory New), 150.94
StatTrak™ AWP | Redline (Minimal Wear), 129.05
AK-47 | Cartel (Factory New), 25.38
AK-47 | First Class (Factory New), 127.61
M4A1-S | Welcome to the Jungle (Minimal Wear), 1426.91
AK-47 | Phantom Disruptor (Well-Worn), 5.08
AWP | Desert Hydra (Field-Tested), 1536.68
StatTrak™ M4A1-S | Night Terror (Factory New), 5.87
StatTrak™ AWP | Duality (Battle-Scarred), 5.45
StatTrak™ M4A1-S | Cyrex (Battle-Scarred), 82.33
StatTrak™ AK-47 | Phantom Disruptor (Well-Worn), 13.72
StatTrak™ M4A1-S | Leaded Glass (Well-Worn), 16.47
AWP | Mortis (Factory New), 6.71
AK-47 | Baroque Purple (Battle-Scarred), 6.64
AWP | Worm God (Factory New), 2.79
AWP | PAW (Well-Worn), 1.68
Souvenir M4A1-S | Nitro (Battle-Scarred), 0
StatTrak™ M4A1-S | Briefing (Well-Worn), 71.21
M4A1-S | Mud-Spec (Well-Worn), 0.34
AWP | Safari Mesh (Field-Tested), 0.06
AWP | Fever Dream (Well-Worn), 10.89
StatTrak™ AK-47 | The Empress (Field-Tested), 77.99
M4A1-S | Decimator (Battle-Scarred), 10.52
StatTrak™ M4A1-S | Cyrex (Field-Tested), 53.99
AWP | Dragon Lore (Well-Worn), 12349.41
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested), 1.73
M4A1-S | Guardian (Well-Worn), 28.54
AK-47 | Head Shot (Field-Tested), 7.78
AWP | Neo-Noir (Battle-Scarred), 23.74
StatTrak™ M4A1-S | Mecha Industries (Well-Worn), 66.96
AK-47 | B the Monster (Minimal Wear), 444.51
AK-47 | Cartel (Battle-Scarred), 12.35
AWP | Asiimov (Well-Worn), 98.8
AK-47 | Panthera onca (Minimal Wear), 237.38
AK-47 | Elite Build (Battle-Scarred), 1.13
StatTrak™ M4A1-S | Blood Tiger (Field-Tested), 13.04
StatTrak™ AK-47 | Rat Rod (Field-Tested), 10.16
StatTrak™ M4A1-S | Bright Water (Minimal Wear), 68.75
StatTrak™ AK-47 | Uncharted (Factory New), 5.75
AK-47 | Gold Arabesque (Factory New), 2758.03
StatTrak™ AK-47 | Red Laminate (Minimal Wear), 225.45
AK-47 | Panthera onca (Field-Tested), 187.99
AK-47 | Asiimov (Minimal Wear), 56.67
AWP | Capillary (Battle-Scarred), 0.27
AK-47 | First Class (Field-Tested), 83.7
AWP | Mortis (Battle-Scarred), 2.02
StatTrak™ AK-47 | Neon Rider (Battle-Scarred), 98.8
AK-47 | Cartel (Well-Worn), 13.72
StatTrak™ M4A1-S | Chantico's Fire (Factory New), 245.38
M4A1-S | Nitro (Minimal Wear), 1.02
StatTrak™ AK-47 | Uncharted (Battle-Scarred), 2.11
StatTrak™ M4A1-S | Briefing (Battle-Scarred), 9.33
AWP | Silk Tiger (Factory New), 221.47
StatTrak™ AK-47 | Legion of Anubis (Minimal Wear), 24.97
AK-47 | Olive Polycam (Minimal Wear), 0.41
StatTrak™ M4A1-S | Guardian (Well-Worn), 48.02
