Item, Buff_Price
StatTrak™ M4A1-S | Printstream (Well-Worn), 304.89
StatTrak™ AK-47 | Slate (Minimal Wear), 17.7
StatTrak™ AWP | Chromatic Aberration (Factory New), 38.15
Souvenir AK-47 | Panthera onca (Factory New), 411.65
Souvenir M4A1-S | Imminent Danger (Well-Worn), 0
StatTrak™ M4A1-S | Leaded Glass (Field-Tested), 10.15
M4A1-S | Control Panel (Minimal Wear), 8.43
StatTrak™ M4A1-S | Briefing (Factory New), 31.86
M4A1-S | Vaporwave (Well-Worn), 104.22
StatTrak™ AK-47 | Redline (Well-Worn), 56.05
StatTrak™ AK-47 | Cartel (Well-Worn), 46.65
Souvenir M4A1-S | Boreal Forest (Field-Tested), 65.18
StatTrak™ AK-47 | Fuel Injector (Minimal Wear), 456.79
StatTrak™ M4A1-S | Basilisk (Well-Worn), 21.2
AWP | Neo-Noir (Factory New), 29.69
M4A1-S | VariCamo (Battle-Scarred), 0.5
M4A1-S | Fizzy POP (Factory New), 2.31
AWP | POP AWP (Field-Tested), 4.55
AWP | Elite Build (Minimal Wear), 19.48
StatTrak™ M4A1-S | Black Lotus (Well-Worn), 23.18
M4A1-S | Emphorosaur-S (Factory New), 2.44
StatTrak™ AWP | Wildfire (Factory New), 260.71
StatTrak™ M4A1-S | Guardian (Factory New), 82.33
Souvenir AK-47 | Panthera onca (Field-Tested), 139.87
StatTrak™ AWP | Elite Build (Well-Worn), 27.31
StatTrak™ AK-47 | Legion of Anubis (Battle-Scarred), 18.04
AWP | Dragon Lore (Factory New), 11129.7
StatTrak™ AK-47 | Neon Rider (Factory New), 325.97
StatTrak™ M4A1-S | Blood Tiger (Minimal Wear), 12.88
StatTrak™ AWP | Duality (Well-Worn), 8.16
StatTrak™ AK-47 | Neon Revolution (Battle-Scarred), 48.39
StatTrak™ AWP | Exoskeleton (Well-Worn), 6.01
StatTrak™ M4A1-S | Mecha Industries (Field-Tested), 56.16
AWP | Pit Viper (Field-Tested), 0.23
StatTrak™ AK-47 | Ice Coaled (Minimal Wear), 20.22
StatTrak™ AK-47 | Elite Build (Minimal Wear), 7.8
AWP | Chrome Cannon (Field-Tested), 39.79
AWP | Chromatic Aberration (Minimal Wear), 9.88
M4A1-S | Knight (Minimal Wear), 0
StatTrak™ AWP | Corticera (Minimal Wear), 37.6
AK-47 | Crossfade (Minimal Wear), 2.74
M4A1-S | Fizzy POP (Well-Worn), 1.09
AWP | Mortis (Well-Worn), 2.99
Souvenir AWP | Safari Mesh (Battle-Scarred), 205.82
M4A1-S | Player Two (Factory New), 116.56
AK-47 | Neon Revolution (Field-Tested), 17.34
AK-47 | Emerald Pinstripe (Factory New), 7.27
Souvenir AWP | Pit Viper (Field-Tested), 411.51
AK-47 | Baroque Purple (Field-Tested), 6.67
StatTrak™ AWP | Wildfire (Field-Tested), 98.34
