★ Butterfly Knife | Boreal Forest (Field-Tested)
★ StatTrak™ M9 Bayonet | Lore (Well-Worn)
★ StatTrak™ Karambit | Crimson Web (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Case Hardened (Field-Tested)
★ StatTrak™ M9 Bayonet | Black Laminate (Well-Worn)
★ M9 Bayonet | Blue Steel (Well-Worn)
★ Karambit | Bright Water (Field-Tested)
★ Karambit | Night (Field-Tested)
★ Moto Gloves | Turtle (Factory New)
★ M9 Bayonet | Damascus Steel (Minimal Wear)
★ StatTrak™ Karambit | Stained (Battle-Scarred)
★ StatTrak™ Karambit | Freehand (Field-Tested)
★ Butterfly Knife | Forest DDPAT (Field-Tested)
★ StatTrak™ M9 Bayonet | Damascus Steel (Factory New)
★ StatTrak™ Bayonet | Autotronic (Factory New)
★ StatTrak™ Stiletto Knife | Fade (Factory New)
★ M9 Bayonet | Stained (Factory New)
★ Hand Wraps | Cobalt Skulls (Minimal Wear)
★ Stiletto Knife | Doppler (Minimal Wear)
★ StatTrak™ M9 Bayonet | Blue Steel (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Stained (Factory New)
★ M9 Bayonet | Crimson Web (Field-Tested)
★ M9 Bayonet | Lore (Well-Worn)
★ StatTrak™ M9 Bayonet | Blue Steel (Field-Tested)
★ StatTrak™ Karambit | Ultraviolet (Field-Tested)
★ Karambit | Rust Coat (Battle-Scarred)
★ StatTrak™ Butterfly Knife | Forest DDPAT (Battle-Scarred)
★ StatTrak™ Butterfly Knife | Urban Masked (Field-Tested)
★ Karambit | Night (Well-Worn)
★ StatTrak™ Karambit | Night (Field-Tested)
★ Karambit | Stained (Battle-Scarred)
★ Stiletto Knife | Doppler (Factory New)
★ StatTrak™ Karambit | Ultraviolet (Well-Worn)
★ Karambit | Ultraviolet (Well-Worn)
★ StatTrak™ Butterfly Knife | Scorched (Well-Worn)
★ Butterfly Knife | Boreal Forest (Well-Worn)
★ Bayonet | Lore (Factory New)
★ Karambit | Lore (Battle-Scarred)
★ StatTrak™ Butterfly Knife | Urban Masked (Battle-Scarred)
★ Butterfly Knife | Urban Masked (Well-Worn)
★ M9 Bayonet | Damascus Steel (Field-Tested)
★ Butterfly Knife | Forest DDPAT (Well-Worn)
★ StatTrak™ Butterfly Knife | Scorched (Field-Tested)
★ StatTrak™ Butterfly Knife | Boreal Forest (Field-Tested)
★ Specialist Gloves | Foundation (Minimal Wear)
★ Bayonet | Autotronic (Factory New)
★ StatTrak™ Karambit | Freehand (Battle-Scarred)
★ StatTrak™ Bayonet | Doppler (Minimal Wear)
★ Sport Gloves | Bronze Morph (Factory New)
★ Butterfly Knife | Scorched (Well-Worn)
★ StatTrak™ Butterfly Knife | Urban Masked (Well-Worn)
★ Karambit | Scorched (Minimal Wear)
★ Karambit | Freehand (Well-Worn)
★ M9 Bayonet | Freehand (Factory New)
★ StatTrak™ Butterfly Knife | Boreal Forest (Well-Worn)
★ StatTrak™ Butterfly Knife | Boreal Forest (Battle-Scarred)
★ Bayonet | Fade (Minimal Wear)
★ StatTrak™ Talon Knife | Tiger Tooth (Factory New)
★ StatTrak™ Butterfly Knife | Scorched (Battle-Scarred)
★ StatTrak™ Butterfly Knife | Forest DDPAT (Field-Tested)
★ Karambit | Freehand (Battle-Scarred)
★ Talon Knife | Tiger Tooth (Minimal Wear)
★ StatTrak™ Karambit | Bright Water (Field-Tested)
★ Butterfly Knife | Scorched (Battle-Scarred)
★ Butterfly Knife | Urban Masked (Battle-Scarred)
★ Skeleton Knife | Night Stripe (Factory New)
★ Butterfly Knife | Boreal Forest (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Damascus Steel (Minimal Wear)
★ Talon Knife | Slaughter (Minimal Wear)
★ StatTrak™ Stiletto Knife | Doppler (Factory New)
★ Butterfly Knife | Forest DDPAT (Battle-Scarred)
★ StatTrak™ Bayonet | Fade (Factory New)
★ StatTrak™ Butterfly Knife | Forest DDPAT (Well-Worn)
★ Sport Gloves | Amphibious (Field-Tested)
★ Skeleton Knife | Slaughter (Minimal Wear)
★ StatTrak™ Karambit | Rust Coat (Battle-Scarred)
★ Bayonet | Fade (Factory New)
★ Talon Knife | Tiger Tooth (Factory New)
★ M9 Bayonet | Bright Water (Factory New)
★ StatTrak™ Talon Knife | Crimson Web (Minimal Wear)
★ StatTrak™ Karambit | Night (Well-Worn)
★ Bayonet | Boreal Forest (Factory New)
★ StatTrak™ Flip Knife | Freehand (Battle-Scarred)
★ StatTrak™ Karambit | Bright Water (Well-Worn)
★ Karambit | Night (Battle-Scarred)
★ StatTrak™ Talon Knife | Scorched (Well-Worn)
